Kick,MatchID,Rd,Cond,HomeTeam,AwayTeam,HomeSc,AwaySc,Player,Team,Foot,Time,Margin,Type,Width,Side,Dist,Result,Direction,Amount
1,2020110110,1,Fine,Parramatta,Canterbury,0,0,Brandon Wakeham,Canterbury,right,0:12:14,0,P,19,L,22,success,middle,left
2,2020110110,1,Fine,Parramatta,Canterbury,0,2,Brandon Wakeham,Canterbury,right,0:15:46,2,P,16,L,21,miss,right,wide
3,2020110110,1,Fine,Parramatta,Canterbury,0,2,Mitchell Moses,Parramatta,right,0:34:41,-2,P,6,R,19,success,middle,middle
4,2020110110,1,Fine,Parramatta,Canterbury,6,2,Mitchell Moses,Parramatta,right,1:06:00,4,C,3,L,10,success,middle,middle
5,2020110120,1,Fine,Canberra,Gold Coast,4,0,Jarrod Croker,Canberra,left,0:03:52,4,C,18,L,19,success,middle,middle
6,2020110120,1,Fine,Canberra,Gold Coast,10,0,Jarrod Croker,Canberra,left,0:14:43,10,C,14,L,16,success,middle,left
7,2020110120,1,Fine,Canberra,Gold Coast,16,0,Jarrod Croker,Canberra,left,0:31:05,16,C,3,R,10,success,middle,middle
8,2020110120,1,Fine,Canberra,Gold Coast,16,4,Ashley Taylor,Gold Coast,right,0:46:14,-12,C,15,R,17,success,middle,left
9,2020110120,1,Fine,Canberra,Gold Coast,22,6,Jarrod Croker,Canberra,left,1:06:35,16,C,6,L,11,success,middle,right
10,2020110130,1,Fine,North Queensland,Brisbane,0,4,Jamayne Isaako,Brisbane,right,0:12:41,4,C,5,R,10,success,middle,right
11,2020110130,1,Fine,North Queensland,Brisbane,4,6,Valentine Holmes,North Queensland,right,0:15:42,-2,C,34,L,26,miss,right,wide
12,2020110130,1,Fine,North Queensland,Brisbane,4,10,Jamayne Isaako,Brisbane,right,0:21:18,6,C,16,R,22,success,middle,middle
13,2020110130,1,Fine,North Queensland,Brisbane,8,12,Valentine Holmes,North Queensland,right,0:34:44,-4,C,34,R,24,miss,right,wide
14,2020110130,1,Fine,North Queensland,Brisbane,8,12,Michael Morgan,North Queensland,right,0:40:00,-4,F,2,R,42,success,middle,middle
15,2020110130,1,Fine,North Queensland,Brisbane,9,16,Jamayne Isaako,Brisbane,right,0:42:52,7,C,15,R,18,success,middle,middle
16,2020110130,1,Fine,North Queensland,Brisbane,9,22,Jamayne Isaako,Brisbane,right,0:59:22,13,C,0,M,11,success,middle,middle
17,2020110130,1,Fine,North Queensland,Brisbane,9,28,Jesse Arthars,Brisbane,right,1:02:08,19,C,27,R,22,miss,left,wide
18,2020110130,1,Fine,North Queensland,Brisbane,13,28,Kyle Feldt,North Queensland,right,1:05:58,15,C,4,L,10,success,middle,middle
19,2020110130,1,Fine,North Queensland,Brisbane,19,28,Kyle Feldt,North Queensland,right,1:15:22,9,C,20,L,15,success,middle,middle
20,2020110140,1,Rain,Newcastle,Warriors,4,0,Kalyn Ponga,Newcastle,left,0:09:42,4,C,4,L,11,success,middle,middle
21,2020110140,1,Rain,Newcastle,Warriors,10,0,Kalyn Ponga,Newcastle,left,0:19:13,10,C,19,L,22,miss,right,narrow
22,2020110140,1,Rain,Newcastle,Warriors,10,0,Kalyn Ponga,Newcastle,left,0:43:24,10,P,4,R,12,success,middle,middle
23,2020110140,1,Rain,Newcastle,Warriors,12,0,Kalyn Ponga,Newcastle,left,0:49:04,12,P,13,R,16,success,middle,left
24,2020110140,1,Rain,Newcastle,Warriors,18,0,Kalyn Ponga,Newcastle,left,0:54:45,18,C,11,L,16,success,middle,right
25,2020110150,1,Rain,South Sydney,Cronulla,0,0,Shaun Johnson,Cronulla,right,0:06:16,0,P,3,R,14,success,middle,middle
26,2020110150,1,Rain,South Sydney,Cronulla,4,2,Adam Reynolds,South Sydney,right,0:12:36,2,C,5,R,10,success,middle,middle
27,2020110150,1,Rain,South Sydney,Cronulla,6,2,Adam Reynolds,South Sydney,right,0:18:28,4,P,5,L,10,success,middle,middle
28,2020110150,1,Rain,South Sydney,Cronulla,8,2,Adam Reynolds,South Sydney,right,0:22:53,6,P,6,L,11,success,middle,middle
29,2020110150,1,Rain,South Sydney,Cronulla,10,6,Shaun Johnson,Cronulla,right,0:33:40,-4,C,13,L,15,success,middle,right
30,2020110150,1,Rain,South Sydney,Cronulla,14,8,Adam Reynolds,South Sydney,right,0:40:00,6,C,33,L,24,success,right post,in
31,2020110150,1,Rain,South Sydney,Cronulla,20,8,Adam Reynolds,South Sydney,right,0:49:04,12,C,8,L,12,success,middle,middle
